,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28W03.wav
1302,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M56N02.wav
2236,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A40.wav
1235,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A50.wav
981,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S12.wav
2429,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N02.wav
300,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24N07.wav
1057,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M29S02.wav
1283,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F26F01.wav
785,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N20.wav
2335,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A52.wav
605,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48S02.wav
251,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F31A11.wav
888,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05S12.wav
721,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46N01.wav
1728,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01H05.wav
1667,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H07.wav
51,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M35W01.wav
1401,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05S02.wav
2906,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M09A14.wav
193,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A25.wav
1941,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N29.wav
42,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F26S02.wav
2847,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S05.wav
1183,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05N09.wav
1831,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A27.wav
2574,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N35.wav
1425,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46N09.wav
999,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A40.wav
92,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N06.wav
2017,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N01.wav
166,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22N01.wav
1498,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A63.wav
2791,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03N05.wav
1573,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A16.wav
67,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N11.wav
244,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N27.wav
1221,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M45N05.wav
995,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F25N01.wav
2696,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N19.wav
2425,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A35.wav
33,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N59.wav
2146,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S48.wav
154,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F16F01.wav
914,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01H03.wav
389,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A05.wav
2862,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A20.wav
442,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N24.wav
73,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A30.wav
1357,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02S02.wav
1312,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01S03.wav
76,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23A16.wav
1186,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27A02.wav
665,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N21.wav
542,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M09A12.wav
1795,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N08.wav
987,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A44.wav
2562,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M19N05.wav
32,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N31.wav
2480,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M19W02.wav
2657,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A11.wav
511,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A58.wav
664,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A43.wav
1879,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S09.wav
2607,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A14.wav
2482,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H14.wav
260,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M07N07.wav
522,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A13.wav
2219,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M29A09.wav
1930,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W12.wav
736,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12A10.wav
1864,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43N01.wav
1794,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26N05.wav
842,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A20.wav
1438,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A02.wav
2784,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N11.wav
1415,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M17N04.wav
1510,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W10.wav
1719,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S01.wav
2415,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A58.wav
2108,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M11H01.wav
1426,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A08.wav
1702,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S44.wav
2286,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S03.wav
456,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M52S03.wav
2068,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A07.wav
96,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M23W01.wav
591,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30H02.wav
2754,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04A02.wav
2918,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S13.wav
2147,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26N03.wav
1161,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A43.wav
1916,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03H04.wav
2629,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S04.wav
2618,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H10.wav
160,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51A01.wav
2201,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16A27.wav
1936,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47W01.wav
2322,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47N05.wav
2755,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M50A12.wav
2436,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S03.wav
1247,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N04.wav
240,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N27.wav
390,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44H06.wav
2513,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03S06.wav
956,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S03.wav
1907,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M07S01.wav
814,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01S22.wav
810,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A10.wav
1675,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A44.wav
249,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N46.wav
1782,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N08.wav
17,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02S12.wav
2308,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N23.wav
1655,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A27.wav
151,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F06H04.wav
1297,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S13.wav
1887,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12N01.wav
1649,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M41W03.wav
1565,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03H01.wav
2519,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H18.wav
2294,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W02.wav
835,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A32.wav
2418,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44H02.wav
962,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N16.wav
508,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N28.wav
2767,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12S01.wav
1378,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M20W02.wav
2931,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F15A04.wav
808,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A52.wav
313,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43N03.wav
1097,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A65.wav
2929,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05A08.wav
2221,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S07.wav
1470,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A05.wav
392,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N71.wav
654,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M17W01.wav
2941,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N16.wav
2864,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12W09.wav
2246,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A11.wav
1583,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M41W02.wav
1538,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24N03.wav
1885,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25W01.wav
1126,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N04.wav
1890,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W14.wav
746,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F18N01.wav
2000,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S12.wav
2403,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M32W01.wav
857,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N80.wav
1052,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05H02.wav
2641,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N12.wav
8,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A20.wav
2529,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A63.wav
1766,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F20N14.wav
613,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N19.wav
2142,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12A02.wav
1981,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N23.wav
469,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F25A07.wav
457,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N47.wav
638,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07H12.wav
850,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43W08.wav
2910,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A05.wav
1641,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M50A08.wav
1215,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A07.wav
1798,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07N06.wav
2243,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09F01.wav
245,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F04A06.wav
2058,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05N15.wav
1386,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02A12.wav
1602,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46N10.wav
209,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H05.wav
1525,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47N17.wav
896,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H13.wav
1877,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H25.wav
1427,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43W02.wav
2359,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S17.wav
2271,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A59.wav
95,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A16.wav
2433,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F18S02.wav
2701,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01N06.wav
2668,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N21.wav
424,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A42.wav
159,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23H03.wav
47,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01W04.wav
321,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A15.wav
303,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27W01.wav
2487,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M06S05.wav
861,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N38.wav
544,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07H13.wav
2883,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05S09.wav
1705,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26N10.wav
1200,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05A12.wav
1625,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N18.wav
428,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46A02.wav
674,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A36.wav
716,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M08N09.wav
1213,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M24N02.wav
1754,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M09A13.wav
1045,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26N04.wav
1479,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05N01.wav
864,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S11.wav
1948,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S46.wav
2442,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W16.wav
1142,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S31.wav
99,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H09.wav
1985,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02A13.wav
1680,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M37N10.wav
1201,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28S07.wav
1111,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N45.wav
1371,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23H01.wav
1188,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02A26.wav
612,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12N07.wav
462,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23A11.wav
2876,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44W03.wav
2043,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A34.wav
2896,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N78.wav
922,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48N02.wav
2612,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27W03.wav
564,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N18.wav
1685,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M29N03.wav
806,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29N03.wav
2642,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A62.wav
529,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N04.wav
1752,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H22.wav
383,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N10.wav
2081,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A33.wav
2298,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N04.wav
215,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A32.wav
1216,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30N06.wav
90,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A41.wav
1874,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N08.wav
1931,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N10.wav
2586,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N32.wav
1722,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19S04.wav
22,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M14S01.wav
2041,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N10.wav
487,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05A06.wav
1564,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A15.wav
873,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09N09.wav
1255,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A29.wav
2717,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48N03.wav
3,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A25.wav
1989,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M42A06.wav
2522,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A20.wav
1884,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M17A01.wav
1064,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N26.wav
2667,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M42A08.wav
2069,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A09.wav
2100,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A15.wav
2498,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29H01.wav
1099,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F25A08.wav
116,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F15A05.wav
1195,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02A02.wav
2485,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W11.wav
1083,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N43.wav
1440,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12S06.wav
1448,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01S19.wav
1748,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03S18.wav
1287,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N12.wav
2208,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M30A02.wav
624,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05W03.wav
662,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A07.wav
650,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28N05.wav
796,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F20W05.wav
2241,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A24.wav
136,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M41W06.wav
513,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N20.wav
829,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24N05.wav
565,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H01.wav
2597,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N16.wav
489,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46N05.wav
826,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N58.wav
186,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A42.wav
2943,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S09.wav
2985,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W05.wav
1687,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01H06.wav
1767,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07N11.wav
1633,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23A09.wav
1396,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01S04.wav
2808,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A23.wav
2850,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M29A15.wav
314,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A06.wav
2619,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23A20.wav
1499,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40A04.wav
2328,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A54.wav
1107,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A35.wav
1581,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A08.wav
1232,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S07.wav
131,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05W03.wav
146,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N13.wav
2960,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A45.wav
1244,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A01.wav
16,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N15.wav
1956,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A27.wav
1459,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A19.wav
55,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S14.wav
1603,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N14.wav
2818,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N45.wav
394,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M34A07.wav
1230,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A36.wav
2772,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N03.wav
568,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S39.wav
1059,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A19.wav
250,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N54.wav
2468,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A41.wav
927,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N47.wav
1024,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M17N05.wav
2514,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F06A02.wav
1606,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A55.wav
1557,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16N02.wav
1909,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A47.wav
2796,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S29.wav
846,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19S02.wav
